id,customer_id,status,region,created_at,total_amount,shipping_cost,discount_amount
ORD-202201-0001,C0445,Completed,Europe,2022-01-15,6769,19,0
ORD-202201-0002,C0398,Completed,Asia,2022-01-14,9773.19,35,1011.81
ORD-202201-0003,C0473,Completed,Europe,2022-01-16,4021,80,59
ORD-202201-0004,C0481,Completed,Europe,2022-01-02,6819.56,92,1122.44
ORD-202201-0005,C0103,Completed,LATAM,2022-01-13,9776,26,0
ORD-202201-0006,C0401,Completed,Europe,2022-01-08,14690.28,46,1155.72
ORD-202201-0007,C0248,Completed,North America,2022-01-02,12234.4,48,763.6
ORD-202201-0008,C0254,Completed,Asia,2022-01-14,836,36,0
ORD-202201-0009,C0216,Completed,North America,2022-01-14,5986.62,39,502.38
ORD-202201-0010,C0196,Completed,North America,2022-01-27,4251.09,56,204.91
ORD-202201-0011,C0329,Completed,Europe,2022-01-25,6385.88,114,428.12
ORD-202201-0012,C0071,Completed,LATAM,2022-01-02,7704.71,86,381.29
ORD-202201-0013,C0165,Completed,Europe,2022-01-06,4080,80,0
ORD-202201-0014,C0425,Pending,Europe,2022-01-19,4750.87,34,533.13
ORD-202201-0015,C0443,Cancelled,LATAM,2022-01-05,4216.69,56,39.31
ORD-202201-0016,C0296,Completed,North America,2022-01-01,1611.23,70,8.77
ORD-202201-0017,C0159,Completed,LATAM,2022-01-07,4908.38,32,123.62
ORD-202201-0018,C0425,Completed,Europe,2022-01-03,15904.34,88,1933.66
ORD-202201-0019,C0188,Completed,North America,2022-01-25,35328.09,62,2733.91
ORD-202201-0020,C0072,Completed,North America,2022-01-11,13881,31,0
ORD-202201-0021,C0221,Completed,Europe,2022-01-07,2930.97,106,225.03
ORD-202201-0022,C0182,Completed,Asia,2022-01-14,5993,93,0
ORD-202201-0023,C0064,Completed,North America,2022-01-04,7560,60,0
ORD-202201-0024,C0381,Completed,Europe,2022-01-24,10171.98,109,637.02
ORD-202201-0025,C0403,Completed,LATAM,2022-01-20,13774,74,0
ORD-202201-0026,C0164,Completed,North America,2022-01-12,2344,50,106
ORD-202201-0027,C0288,Completed,North America,2022-01-26,12210.21,54,1493.79
ORD-202201-0028,C0011,Pending,LATAM,2022-01-04,2732.18,39,56.82
ORD-202201-0029,C0015,Cancelled,LATAM,2022-01-11,5875.93,105,229.07
ORD-202201-0030,C0234,Pending,Asia,2022-01-24,1770,70,0
ORD-202201-0031,C0136,Pending,North America,2022-01-03,2524,24,0
ORD-202201-0032,C0035,Completed,LATAM,2022-01-13,1953.21,53,299.79
ORD-202201-0033,C0379,Completed,LATAM,2022-01-05,22180,30,0
ORD-202201-0034,C0206,Completed,Asia,2022-01-24,13187.56,31,43.44
ORD-202201-0035,C0247,Completed,LATAM,2022-01-01,7264.24,112,97.76
ORD-202201-0036,C0080,Cancelled,North America,2022-01-09,1977.57,85,307.43
ORD-202201-0037,C0388,Completed,North America,2022-01-14,2524,74,0
ORD-202201-0038,C0107,Completed,LATAM,2022-01-26,3552.19,37,484.81
ORD-202201-0039,C0353,Completed,Europe,2022-01-09,26642.47,54,1311.53
ORD-202201-0040,C0310,Completed,Asia,2022-01-28,1313,63,0
ORD-202201-0041,C0002,Completed,Asia,2022-01-01,19094,44,0
ORD-202201-0042,C0324,Completed,North America,2022-01-14,3385.72,105,19.28
ORD-202201-0043,C0490,Pending,Asia,2022-01-09,4827.58,58,80.42
ORD-202201-0044,C0235,Completed,LATAM,2022-01-01,5074.89,103,128.11
ORD-202201-0045,C0306,Completed,Asia,2022-01-17,12113,113,0
ORD-202201-0046,C0173,Completed,Europe,2022-01-22,15224,74,0
ORD-202202-0047,C0463,Completed,LATAM,2022-02-12,211,61,0
ORD-202202-0048,C0477,Completed,Europe,2022-02-13,7702.22,83,80.78
ORD-202202-0049,C0165,Pending,Europe,2022-02-10,1077,77,0
ORD-202202-0050,C0345,Completed,Europe,2022-02-27,658,58,0
ORD-202202-0051,C0408,Completed,North America,2022-02-17,5665.24,88,572.76
ORD-202202-0052,C0396,Completed,North America,2022-02-16,6371,71,0
ORD-202202-0053,C0391,Completed,LATAM,2022-02-10,7375,25,0
ORD-202202-0054,C0230,Completed,Asia,2022-02-07,9812.2,65,1002.8
ORD-202202-0055,C0173,Completed,Europe,2022-02-16,9702.63,104,1001.37
ORD-202202-0056,C0093,Completed,Europe,2022-02-27,11863.46,79,215.54
ORD-202202-0057,C0364,Completed,North America,2022-02-25,1686.18,88,1.82
ORD-202202-0058,C0458,Completed,Asia,2022-02-19,3786.14,92,5.86
ORD-202202-0059,C0171,Completed,LATAM,2022-02-22,14236,86,0
ORD-202202-0060,C0410,Completed,Asia,2022-02-28,15571,71,0
ORD-202202-0061,C0207,Completed,LATAM,2022-02-17,10306.37,63,706.63
ORD-202202-0062,C0232,Completed,North America,2022-02-03,6227.27,32,654.73
ORD-202202-0063,C0171,Completed,LATAM,2022-02-14,1812,112,0
ORD-202202-0064,C0365,Completed,Europe,2022-02-15,3108.29,101,92.71
ORD-202202-0065,C0480,Completed,North America,2022-02-03,316.91,72,5.09
ORD-202202-0066,C0398,Completed,Asia,2022-02-22,15657.98,79,1371.02
ORD-202202-0067,C0486,Completed,Asia,2022-02-02,20230,30,0
ORD-202202-0068,C0497,Completed,Europe,2022-02-09,1186.55,39,102.45
ORD-202202-0069,C0491,Completed,LATAM,2022-02-21,1055,105,0
ORD-202202-0070,C0014,Cancelled,Asia,2022-02-24,14560.35,45,734.65
ORD-202202-0071,C0432,Completed,North America,2022-02-27,13714,114,0
ORD-202202-0072,C0330,Completed,Asia,2022-02-19,12433,83,0
ORD-202202-0073,C0359,Completed,LATAM,2022-02-02,328,28,0
ORD-202202-0074,C0139,Pending,LATAM,2022-02-24,5005,105,0
ORD-202202-0075,C0429,Completed,Europe,2022-02-07,20310,110,0
ORD-202202-0076,C0336,Completed,North America,2022-02-14,11114,64,0
ORD-202202-0077,C0184,Pending,North America,2022-02-04,6798,98,0
