id,order_id,product_id,quantity,unit_price,unit_cost
ITEM-00001,ORD-202201-0001,P016,1,3000,1500
ITEM-00002,ORD-202201-0001,P010,3,1250,160
ITEM-00003,ORD-202201-0002,P003,2,1700,820
ITEM-00004,ORD-202201-0002,P014,3,250,25
ITEM-00005,ORD-202201-0002,P009,2,1100,140
ITEM-00006,ORD-202201-0002,P005,2,2200,1040
ITEM-00007,ORD-202201-0003,P017,1,4000,1900
ITEM-00008,ORD-202201-0004,P003,1,1700,820
ITEM-00009,ORD-202201-0004,P006,1,2450,1150
ITEM-00010,ORD-202201-0004,P003,2,1700,820
ITEM-00011,ORD-202201-0004,P015,1,300,30
ITEM-00012,ORD-202201-0005,P012,3,150,15
ITEM-00013,ORD-202201-0005,P005,2,2200,1040
ITEM-00014,ORD-202201-0005,P006,2,2450,1150
ITEM-00015,ORD-202201-0006,P017,3,4000,1900
ITEM-00016,ORD-202201-0006,P002,2,1450,710
ITEM-00017,ORD-202201-0006,P015,3,300,30
ITEM-00018,ORD-202201-0007,P005,1,2200,1040
ITEM-00019,ORD-202201-0007,P003,3,1700,820
ITEM-00020,ORD-202201-0007,P008,2,950,120
ITEM-00021,ORD-202201-0007,P010,3,1250,160
ITEM-00022,ORD-202201-0008,P007,1,800,100
ITEM-00023,ORD-202201-0009,P005,1,2200,1040
ITEM-00024,ORD-202201-0009,P010,3,1250,160
ITEM-00025,ORD-202201-0009,P014,2,250,25
ITEM-00026,ORD-202201-0010,P005,2,2200,1040
ITEM-00027,ORD-202201-0011,P012,3,150,15
ITEM-00028,ORD-202201-0011,P008,3,950,120
ITEM-00029,ORD-202201-0011,P002,1,1450,710
ITEM-00030,ORD-202201-0011,P004,1,1950,930
ITEM-00031,ORD-202201-0012,P017,2,4000,1900
ITEM-00032,ORD-202201-0013,P001,1,1200,600
ITEM-00033,ORD-202201-0013,P011,2,1400,180
ITEM-00034,ORD-202201-0014,P015,3,300,30
ITEM-00035,ORD-202201-0014,P002,3,1450,710
ITEM-00036,ORD-202201-0015,P011,3,1400,180
ITEM-00037,ORD-202201-0016,P012,3,150,15
ITEM-00038,ORD-202201-0016,P009,1,1100,140
ITEM-00039,ORD-202201-0017,P018,1,5000,2300
ITEM-00040,ORD-202201-0018,P017,2,4000,1900
ITEM-00041,ORD-202201-0018,P016,3,3000,1500
ITEM-00042,ORD-202201-0018,P014,3,250,25
ITEM-00043,ORD-202201-0019,P019,3,6000,2700
ITEM-00044,ORD-202201-0019,P017,3,4000,1900
ITEM-00045,ORD-202201-0019,P017,2,4000,1900
ITEM-00046,ORD-202201-0020,P014,3,250,25
ITEM-00047,ORD-202201-0020,P003,2,1700,820
ITEM-00048,ORD-202201-0020,P003,1,1700,820
ITEM-00049,ORD-202201-0020,P017,2,4000,1900
ITEM-00050,ORD-202201-0021,P002,1,1450,710
ITEM-00051,ORD-202201-0021,P007,2,800,100
